key,原文,译文
Root/TooltipHomesteadBranchCraftsmanRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and [x1] [y1] triweekly[/i]\nCrafts weapons of higher quality.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchCraftsmanRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and [x1] [y1] fortnightly[/i]\nCrafts weapons of higher quality.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchCraftsmanRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nCrafts weapons of the highest quality.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeFarms,Farms,
Root/HomesteadUpgradeFarmsDescription,Better pens to hold more livestock.,
Root/HomesteadBranchFarms,Farms,
Root/TooltipHomesteadBranchFarmsRank0,"[size=""16""][name][/size]\nThe pens and gardens surrounding your village.",
Root/TooltipHomesteadBranchFarmsRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y][/i]\nEydis gets a new fence and a couple more aurochs, and the animal pens are cleaned up.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchFarmsRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y][/i]\nNew barn and new fence for the pig pen that will hold more pigs.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchFarmsRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y][/i]\nThe cow pen is upgraded and two horses are bought and stabled with Eydis.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradePalisades,Palisades,
Root/HomesteadUpgradePalisadesDescription,Stronger defences bolster your clan's military might.,
Root/HomesteadBranchPalisades,Palisades,
Root/TooltipHomesteadBranchPalisadesRank0,"[size=""16""][name][/size]\nThe old dinky palisades your father left you.",
Root/TooltipHomesteadBranchPalisadesRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y][/i]\nThe old perimeter fence is replaced by a sturdier barrier.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchPalisadesRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y][/i]\nThe wall is reinforced and the platform expanded.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchPalisadesRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y][/i]\nSharpened stakes are driven into the ground and watch towers are added to the gates.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeBanners,Banners,
Root/HomesteadUpgradeBannersDescription,"Decorate your homestead to improve your clan's reputation, bringing in more trade.",
Root/TooltipHomesteadBranchBannersRank1,"[size=""16""][name][/size]\n[requirement][i][x] [y][/i]\nDecorates your homestead to improve your clan's reputation, bringing in more trade.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeRoads,Roads,
Root/HomesteadUpgradeRoadsDescription,Prevents soggy feet from walking through the mud.,
Root/TooltipHomesteadBranchRoadsRank1,"[size=""16""][name][/size]\n[requirement][i][x] [y][/i]\nPrevents soggy feet from walking through the mud.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeTrainingRing,Training Ring,
Root/HomesteadUpgradeTrainingRingDescription,Restore the old training ring to its former glory.,
Root/TooltipHomesteadBranchTrainingRingRank1,"[size=""16""][name][/size]\n[requirement][i][x] [y][/i]\nRestores the old training ring to its former glory.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradePier,Pier,
Root/HomesteadUpgradePierDescription,Expand the pier to support larger warships.,
Root/TooltipHomesteadBranchPierRank1,"[size=""16""][name][/size]\n[requirement][i][x] [y][/i]\nExpands the pier to support larger warships.\n[color=""silver""]Cost:[/color] [cost]",
