key,原文,译文
Root/SkillKnifeRank5,"[color=""orange""]+[x][/color] Damage",
Root/TooltipSkillKnifeRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillKnifeRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillKnifeRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillKnifeRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillKnifeRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityBrace,Brace,
Root/AbilityBraceDescription,Restores your shield to mint condition.,
Root/AbilityDefend,Defend,
Root/AbilityDefendDescription,You get the status effect [StatusEffect].,
Root/AbilityShieldBash,Shield Bash,
Root/AbilityShieldBashDescription,Pushes the target 1 hex away and applies the status effect [StatusEffect].,
Root/TooltipCombatShieldBrace,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatShieldProtect,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatShieldShieldBash,[NameAbility][action]\n[DescriptionAbility],
Root/SkillShield,Shield,
Root/SkillShieldDescription,"Governed by [color=""lightblue""]Endurance[/color]. Off-hand only. Can Block melee and ranged attacks, reducing the damage taken.",
Root/SkillShieldRank1,"[color=""orange""]+[x][/color] Block Chance",
Root/SkillShieldRank2,"[color=""orange""]+[x][/color] Block Chance",
Root/SkillShieldRank3,"[color=""orange""]+[x][/color] Block Chance",
Root/SkillShieldRank4,"[color=""orange""]+[x][/color] Block Chance",
Root/SkillShieldRank5,"[color=""orange""]+[x][/color] Block Chance",
Root/TooltipSkillShieldRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Block Chance[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillShieldRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Block Chance[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillShieldRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Block Chance[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillShieldRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Block Chance[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillShieldRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Block Chance[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityPuffball,Puffball,
Root/AbilityPuffballDescription,"Launches mushroom that explodes into a cloud of dust spores that covers the target hex and all adjacent hexes for 1 turn, treating them as full cover for purposes of ranged attacks.",
Root/AbilityScattershot,Scattershot,
Root/AbilityScattershotDescription,"Any character within a 2-hex arc at a 6-hex distance or less have 75% chance to be [StatusEffect], 50% chance to be [StatusEffect1], and 25% chance to be [StatusEffect2]. The attack deals no damage.",
Root/AbilityGrenade,Grenade,
Root/AbilityGrenadeDescription,Launches a bladder which spreads oil across the target hex and all adjacent hexes. Any occupying character gets the status effect [StatusEffect].,
Root/TooltipCombatSlingPuffball,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSlingScattershot,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSlingGrenade,[NameAbility][action]\n[DescriptionAbility],
Root/SkillSling,Sling,
Root/SkillSlingDescription,"Governed by [color=""lightblue""]Perception[/color]. Two-handed ranged. Medium Damage, very high Critical.",
Root/SkillSlingRank1,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillSlingRank2,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillSlingRank3,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillSlingRank4,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillSlingRank5,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/TooltipSkillSlingRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSlingRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSlingRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSlingRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSlingRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityExtend,Extend,
Root/AbilityExtendDescription,"Attack a target 3 hexes away, but at 75% Damage.",
Root/AbilitySmack,Smack,
Root/AbilitySmackDescription,"Smack an adjacent target for 50% Damage, making them [StatusEffect], and then take 1 step back without incurring Attack of Opportunity.",
Root/AbilityDistract,Distract,
Root/AbilityDistractDescription,Neutralise the Attack of Opportunity of an enemy who is exactly 2 hexes away.,
Root/TooltipCombatSpearExtend,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSpearSmack,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSpearDistract,[NameAbility][action]\n[DescriptionAbility],
Root/SkillSpear,Spear,
Root/SkillSpearDescription,"Governed by [color=""lightblue""]Finesse[/color]. Two-handed melee. Two-hex reach, medium Damage, high Critical.",
Root/SkillSpearRank1,"[color=""orange""]+[x][/color] Damage",
Root/SkillSpearRank2,"[color=""orange""]+[x][/color] Damage",
Root/SkillSpearRank3,"[color=""orange""]+[x][/color] Damage",
Root/SkillSpearRank4,"[color=""orange""]+[x][/color] Damage",
Root/SkillSpearRank5,"[color=""orange""]+[x][/color] Damage",
Root/TooltipSkillSpearRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSpearRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSpearRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSpearRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSpearRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityReady,Ready,
Root/AbilityReadyDescription,Automatically attacks the first enemy that enters melee range.,
Root/AbilityHeavySwing,Heavy Swing,
Root/AbilityHeavySwingDescription,"Ignores the target's [color=""lightblue""]Damage Reduction[/color].",
Root/AbilityExecute,Execute,
Root/AbilityExecuteDescription,"Marks the target for a killing blow on the next turn, which will instantly dismember them if it deals any damage.",
Root/TooltipCombatSwordReady,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSwordHeavySwing,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatSwordExecute,[NameAbility][action]\n[DescriptionAbility],
Root/SkillSword,Sword,
Root/SkillSwordDescription,"Governed by [color=""lightblue""]Strength[/color]. One-handed melee. Medium Damage, low Critical.",
Root/SkillSwordRank1,"[color=""orange""]+[x][/color] Damage",
Root/SkillSwordRank2,"[color=""orange""]+[x][/color] Damage",
Root/SkillSwordRank3,"[color=""orange""]+[x][/color] Damage",
Root/SkillSwordRank4,"[color=""orange""]+[x][/color] Damage",
Root/SkillSwordRank5,"[color=""orange""]+[x][/color] Damage",
Root/TooltipSkillSwordRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSwordRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSwordRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillSwordRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillSwordRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityAnticipateOpening,Anticipate Opening,
Root/AbilityAnticipateOpeningDescription,The next attack will always be a critical attack.,
Root/TooltipCombatAnticipateOpeningAnticipateOpening,[NameAbility][action]\n[DescriptionAbility],
Root/SkillAnticipateOpening,Anticipate Opening,
Root/SkillAnticipateOpeningDescription,[DescriptionAbility],
Root/SkillAnticipateOpeningRank1,[DescriptionAbility],
Root/TooltipSkillAnticipateOpeningRank1,"[size=""16""][NameSkill][/size]\n[requirement]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityCharge,Charge,
Root/AbilityChargeDescription,Makes a melee attack with +5 Damage for every hex you move before attacking the target.,
Root/TooltipCombatChargeCharge,[NameAbility][action]\n[DescriptionAbility],
Root/SkillCharge,Charge,
Root/SkillChargeDescription,[DescriptionAbility],
Root/SkillChargeRank1,[DescriptionAbility],
Root/TooltipSkillChargeRank1,"[size=""16""][NameSkill][/size]\n[requirement]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityCripple,Cripple,
Root/AbilityCrippleDescription,Makes a ranged attack that deals 25% damage but takes away all the target's moves on the next turn if it hits.,
Root/TooltipCombatCrippleCripple,[NameAbility][action]\n[DescriptionAbility],
Root/SkillCripple,Cripple,
Root/SkillCrippleDescription,[DescriptionAbility],
Root/SkillCrippleRank1,[DescriptionAbility],
Root/TooltipSkillCrippleRank1,"[size=""16""][NameSkill][/size]\n[requirement]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityHookSlash,Hook and Slash,
Root/AbilityHookSlashDescription,"An overhead attack with the off-hand weapon that is always blocked, immediately followed by an unblockable attack with the main hand weapon.",
Root/AbilityParry,Parry,
Root/AbilityParryDescription,Activates [StatusEffect] until next turn.,
Root/AbilityOneTwo,One-Two,
Root/AbilityOneTwoDescription,"Does 1 attack with each weapon at full damage, on the same target or 2 different targets. If the first target you choose is flanking you, a special attack will be executed instead against both flanking enemies which cannot be blocked.",
Root/TooltipCombatDualWieldingHookSlash,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatDualWieldingParry,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatDualWieldingOneTwo,[NameAbility][action]\n[DescriptionAbility],
Root/SkillDualWielding,Dual Wielding,
Root/SkillDualWieldingDescription,"Add a greater percentage of your off-hand weapon's [color=""lightblue""]Damage[/color] and gain abilities that utilise both weapons. Only knives and axes can be wielded in your off-hand.",
Root/SkillDualWieldingRank1,"[color=""orange""]60%[/color] Off-hand Weapon Damage",
Root/SkillDualWieldingRank2,"[color=""orange""]70%[/color] Off-hand Weapon Damage",
Root/SkillDualWieldingRank3,"[color=""orange""]80%[/color] Off-hand Weapon Damage",
Root/SkillDualWieldingRank4,"[color=""orange""]90%[/color] Off-hand Weapon Damage",
Root/SkillDualWieldingRank5,"[color=""orange""]100%[/color] Off-hand Weapon Damage",
Root/TooltipSkillDualWieldingRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement]Off-hand [color=""lightblue""]Weapon Damage[/color] increased to [color=""lime""]60%[/color]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillDualWieldingRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement]Off-hand [color=""lightblue""]Weapon Damage[/color] increased to [color=""lime""]70%[/color]",
Root/TooltipSkillDualWieldingRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement]Off-hand [color=""lightblue""]Weapon Damage[/color] increased to [color=""lime""]80%[/color]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillDualWieldingRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement]Off-hand [color=""lightblue""]Weapon Damage[/color] increased to [color=""lime""]90%[/color]",
Root/TooltipSkillDualWieldingRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement]Off-hand [color=""lightblue""]Weapon Damage[/color] increased to [color=""lime""]100%[/color]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityFeint,Feint,
Root/AbilityFeintDescription,"Move to the other side of the target, and make the target spend its Attack of Opportunity.",
Root/TooltipCombatFeintFeint,[NameAbility][action]\n[DescriptionAbility],
Root/SkillFeint,Feint,
Root/SkillFeintDescription,[DescriptionAbility],
Root/SkillFeintRank1,[DescriptionAbility],
Root/TooltipSkillFeintRank1,"[size=""16""][NameSkill][/size]\n[requirement]\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityInterrupt,Interrupt,
Root/AbilityInterruptDescription,"[color=""lime""]Free for all characters.[/color]\nPostpone a ranged attack until you have at least a 75% chance to hit an enemy during the enemy turn, or until an enemy closes to within 6 hexes.",
Root/TooltipCombatInterruptInterrupt,[NameAbility][action]\n[DescriptionAbility],
Root/SkillInterrupt,Interrupt,
Root/SkillInterruptDescription,[DescriptionAbility],
Root/SkillInterruptRank1,[DescriptionAbility],
