key,原文,译文
Root/ExplorationHomestead3,These icons show your Prosperity and your Power. Most Homestead upgrades provide bonuses to one or the other. Some of the decisions you make in the story will also modify these values.,
Root/ExplorationHomestead4,"Your Prosperity and your Power will eventually influence how the game ends, so choose wisely!",
Root/ExplorationHomesteadUpgrade1,"Building an upgrade takes time. Assign thralls to the upgrade to speed up construction. You will never get your thralls back, but without them, you are unlikely to finish all upgrades before the game is over.",
Root/ExplorationAreaMap1,"Click on the compass rose to open the Area Map. This shows the layout of the area, with points of interests and your current position marked.",
Root/ExplorationLooting1,"As you explore the world, you'll come across objects that can be looted or interacted with. Some of these are sometimes deliberately hidden. To see which objects can be interacted with, hold down the [color=""yellow""]Highlight All[/color] button.",
Root/ExplorationCampaignMap1,"When you're ready to leave the area, click on the Area Map button to find the nearest campaign map transition.",
Root/ExplorationCampaignMap2,This icon denotes a campaign map transition. Go here to leave the area and enter the campaign map.,
Root/TutorialHeadlineTrading,Trading,
Root/ExplorationTrading1,"This is where you'll trade resources. To start, simply select the resource you want to sell and the resource you want to buy and drag the slider to set the amount.",
Root/ExplorationTrading2,The demand for a resource is based on the supply of the vendor. You'll get better prices when selling resources that are in demand.,
Root/ExplorationTrading3,"Prices are also determined by the trader, where some might be more expensive or favourable. This is further influenced by your reputation with the trader's faction.",
Root/TutorialHeadlineCampaignMap,Campaign Map,
Root/CampaignMap1,"This is the campaign map, where you'll be travelling between known locations. New locations are marked in the lower left corner of their icon, as shown above.",
Root/CampaignMap2,"Tooltips for locations provide you with their name, as well as how long it will take to get there. Longer journeys may require you to make camp on the way, to stave off fatigue and starvation.",
Root/CampaignMap3,"Hovering over campsites reveals the security, shelter, and the abundance of food at that campsite, each of which has different benefits. The most convenient campsites are often occupied, and you'll need to capture them to camp there. Choose carefully.",
Root/CampaignMap4,"To start your journey, either click on a location to plot a path and press Space to start/pause your movement, or simply double-click a location to start moving.",
Root/TutorialHeadlineCampaignMapTravel,Travel,
Root/CampaignMapTravel1,"Your hird will automatically chart the fastest path to your chosen destination. Roads are heavily favoured, as following them is 50% faster than other terrain types. Random events can happen anywhere when you travel, but they're slightly more likely to happen when you're following the road.",
Root/CampaignMapTravel2,"These icons appear along the path to show you when certain things will happen: sunset, sunrise, or when a hirdman will become fatigued. You can hover over them to see what they mean, and the tooltip for each fatigue icon will tell you which character or characters it concerns.",
Root/CampaignMapTravel3,"Should anyone become fatigued or begin to starve, it will be displayed here. This window also shows the average morale of your hirdmen. Keep an eye on it to gauge when you need to make camp.",
Root/TutorialHeadlineCampaignMapTimeline,Timeline,
Root/CampaignMapTimeline1,"As you plan your travels, keep an eye on this timeline. It shows your current [color=""red""]deadline[/color] and illustrates how much of the available time you've spent.",
Root/CampaignMapTimeline2,"You have about one month to prepare for your expedition before it's too late, and if you run out of time, the game will end prematurely. Time usually passes only when you travel or when you make camp. Each time you make camp, 12 hours pass. In rare cases, storyline choices or events will also advance the time.",
Root/CampaignMapTimeline3,"When you leave for Britain, time will advance to spring and you will be given a new, more generous deadline. Consider beginning a long construction project in your Homestead before you trigger this timeskip.",
Root/CampingIntro1,"Welcome to your campsite. This is where you heal injuries and create items and equipment. When characters want to talk to you, they'll strike up a conversation during the night.",
Root/CampingIntro2,"This is your to-do list. Every time you make camp, you need to make sure that everyone gets rest, that everyone eats, that broken items are repaired, and that every injured hirdman is treated. At the same time, you should ensure that the camp is well guarded.",
Root/CampingIntro3,"Start by assigning food to everyone. Your hirdmen are just as happy to eat rations as meat, but remember that meat perishes quickly if it's not eaten or preserved. Characters lose morale if they don't eat.",
Root/CampingIntro4,"Each night is divided into 4 shifts, and you are able to assign one task to each hirdman per shift. Try assigning the different tasks now, and new tutorial windows will explain each one. NOTE: Some tasks are only available in particular shifts.",
Root/CampingIntro5,"Once you're happy with your setup, click Make Camp to send everyone off on their chores. If you've changed your mind, the Leave Camp button takes you back to the campaign map.",
Root/CampingResting1,"Resting is the default task. You should make sure each hirdman gets 2 shifts of rest if you want to stave off fatigue, but the shifts don't have to be consecutive.",
Root/CampingResting2,"If a hirdman is fatigued it will show up here, over their portrait. Fatigue is one of the worst things that can affect a character. It's a huge detriment to every stat, which has wide-ranging knock-on effects in combat.",
Root/CampingGuard1,"The camp's security rating is shown here. The higher the number, the less likely you'll get attacked or lose resources.",
Root/CampingGuard2,"The overall Guarding score is your chance to prevent attacks or theft if you camp in unsecure locations. Your goal is to assign 5 ranks worth of the Guarding skill in each shift.\n\n[i]For example: assign 1 hirdman with Guarding rank 5 in one shift, or a hirdman with Guarding on rank 2 and another with rank 3.[/i]",
Root/CampingGuard3,The individual score for each shift is displayed here for your convenience. Use these numbers to gauge which shift is lowering your overall security score.,
Root/TutorialHeadlineHunting,"[size=""24""]Hunting[/size]",
Root/CampingHunting1,The Hunting score shows the chance for your assigned hunters to bring back enough meat to feed everyone next time you make camp.,
Root/CampingHunting2,Hunting only needs a total of hunting rank 5 for all four shifts to maximize the chance of success.,
Root/CampingHunting3,"Hunting is good way to keep everyone fed without having to dip into your rations, but does subtract from the area's food supply.",
Root/CampingScouting1,The Scouting score shows the chance of points of interest being discovered in the vicinity of the camp. These can then be investigated on the campaign map.,
Root/CampingCooking1,"Cooking grants a chance to make each of your hirdmen Well Fed, which provides a bonus to Endurance and Sense for the following 12 hours.",
Root/CampingCooking2,"Cooking can only be done in the first shift, and only one hirdman can cook each day. The higher the Cooking skill of the cook, the higher the chance of gaining a bonus.",
Root/CampingPreserving1,"Preserving converts any meat not assigned to hirdmen into rations. This is helpful because unlike meat, rations last forever.",
Root/CampingPreserving2,"This score shows the total resulting rations. Each shift, a hirdman can convert 1 unit of meat into rations per rank of their Preserving skill.",
Root/CampingClean1,"Cleaning up when you leave camp prevents the camp's security rating from decreasing from your visit. If you don't clean up after you, camp sites will get more and more difficult to guard each time you use them.",
Root/CampingClean2,"For obvious reasons, you can only assign Clean in the final shift of the day. You only need one shift of cleaning duty for one hirdman in order to prevent a loss of security.",
Root/CampingWitchcraft1,"Witchcraft converts herbs into medicine, which is used when treating injured hirdmen. Herbs cannot be used for anything in and of themselves (except of course a nice hot cup of tea).",
Root/CampingWitchcraft2,"This score shows the total resulting medicine. Each shift, a hirdman can convert 1 unit of herbs into medicine per rank of their Witchcraft skill.",
Root/CampingAutoAssign1,"If you're not sure what to do, you can always click the Auto Assign button. Auto Assign will try to maximize your Guarding and Hunting scores first, then Preserving, Cleaning, Cooking, and finally Scouting.",
Root/CampingAutoAssign2,"The auto-assign setup is always a good place to start, but if you want to craft, repair, heal, or tinker, you'll need to set those tasks yourself.",
Root/CampingClose1,"The task has now been assigned to a character and will be carried out when you Make Camp. If you want to modify the task, you can always click on the ellipsis (...) button to open the setup screen again.",
Root/TutorialHeadlineCrafting,"[size=""24""]Crafting[/size]",
Root/CampingCrafting1,This is the crafting menu. Crafting converts salvage into weapons or hides into armour.,
Root/CampingCrafting2,"These are the crafting skills of the hirdman who's crafting. The skill rank determines the maximum item tier you can build, which in turn determines the total resource cap for each type of weapon.",
Root/CampingCrafting3,Start by selecting which type of item you want to craft. You can only craft armour and helmets if you have the Armoursmithing skill.,
Root/CampingCraftingItemType1,"Each item type has a set of statistics that can be increased by assigning salvage or hides to them. The gold rings shows the maximum value based on your skills. If you cannot afford to increase a stat, the rings will turn red.",
Root/CampingCraftingItemType2,"To spend resources on a stat, either use the up/down arrows or click on a gold ring. As you increase one stat, the maximum values of other stats are reduced to fit the overall resource cap imposed by your skill level.",
Root/CampingCraftingItemStat1,"Here you can see a preview of the item you're about to build - if you accept, this is the item that will be added to your inventory.",
Root/CampingCraftingItemStat2,Use the durability of the item as an indicator of its overall quality. Items have one point of durability per unit of salvage or hides spent creating them.,
Root/CampingCraftingItemStat3,"Click here to confirm the item when you're happy with it. If you've changed your mind, you can always cancel by simply closing the window.",
Root/CampingRepairing1,This is the repairing menu. This may be the only simple menu in the game - savour it. Here you'll be able to select the weapons you want to repair during a shift. The amount of items you can repair is only limited by your available resources.,
Root/CampingTinkering1,"This is the Tinkering menu, where your hirdmen can use crafting resources to build throwable items, consumable items, or traps for use in combat.",
Root/CampingTinkering2,"Each rank of the Tinker skill unlocks new items. To see what an item does, hover over its icon and read the tooltip.",
Root/CampingTinkering3,"If you have the skill to build an item, and you have the resources required, simply click on it and press the ""Tinker Item"" button.",
Root/TutorialHeadlineHealing,"[size=""24""]Healing[/size]",
Root/CampingHealing1,"This is the Triage menu where you can treat the injuries that your hirdmen have sustained. Anyone with the healing skill can treat an injury, but the higher their Healing rank, the less Medicine will be needed. A healer can only treat one injury per shift.",
Root/CampingHealing2,This shows the patients and the deterioration risk of their injury. Also shown is the penalties imposed on the patient. Use this to prioritise your patients.,
Root/CampingHealing3,"Patients can have more than one injury at a time. If this is the case, select which specific injury to treat by clicking on it. Injuries that are left untreated may get worse. Eventually, even the lightest injury can get bad enough to kill the patient.",
Root/CampingHealing4,Each injury also displays its treatment cost in medicine as well as the penalty that it imposes on the patient. Use all this information to prioritise which injuries to treat first.,
Root/CampingHealing5,This is the total cost to perform all the healing you've assigned today. The numbers in the parenthesis show the unmodified cost and the percentage bonus from the Healing skills of the hirdmen assigned to heal.,
Root/TutorialHeadlineCombat,"[size=""24""]Combat[/size]",
Root/CombatEnter1,"Combat is an important aspect of the game. Defeat does not necessarily mean game over, you will usually be able to continue, and the story may change in some cases.",
Root/CombatEnter2,"During combat, blue hexes appear under your allies and red hexes underneath enemies. You can select yourself and your warriors, called hirdmen, either by clicking on them directly or by clicking on their portrait.",
Root/CombatEnter3,You can make default attacks against enemies by clicking on them when the cursor changes to a sword or an arrow.,
Root/CombatEnter4,"In addition to normal attacks, remember to use your characters' abilities. When the conditions for an ability are not met, it will be greyed out. Hovering over the individual abilities will provide information about their use and effects.",
Root/TutorialHeadlineSurpriseRound,"[size=""24""]Surprise Round[/size]",
Root/CombatSurpriseRound1,"In this encounter, your enemy acts first. However, you still get to reposition your hirdmen before all Hel breaks loose. Use this round to take cover from archers and move your weaker characters behind your defenders.",
Root/TutorialHeadlineMovement,"[size=""24""]Actions & Movement[/size]",
Root/CombatMovement1,Around each character's feet is their Action Ring. Its state is mirrored by the dots at the bottom of their portrait. The inner ring shows whether the character still has an Attack action. The outer ring shows you what kind of Movement is available to the character.,
Root/CombatMovement2,"A [color=""green""]green[/color] and a [color=""red""]red[/color] ring means you can move within the [color=""green""]green[/color] area and still attack, or spend your Attack action to move all the way to the edge of the [color=""yellow""]yellow[/color] area.",
Root/CombatMovement3,"A [color=""yellow""]yellow[/color] and a [color=""red""]red[/color] ring means you can attack from where you stand, or convert your Attack to extra Movement up to the edge of the [color=""yellow""]yellow[/color] area.",
Root/CombatMovement4,"A [color=""yellow""]yellow[/color] ring with a [color=""grey""]grey[/color] inner ring means you have no Attack action left, but you can still move to the edge of the [color=""yellow""]yellow[/color] area.",
Root/CombatMovement5,"If both rings are [color=""grey""]grey[/color], it means the character has neither an Attack nor Movement left.",
Root/TutorialHeadlineOrderingInformation,"[size=""24""]Ordering & Info[/size]",
Root/CombatInformation1,"During combat, characters can be ordered around in any order. For example: you could move a ranged character a few hexes toward an enemy, shoot, and then move back again.",
Root/CombatInformation2,"Basic information about your hirdmen and the enemies can be seen by hovering over them with your mouse. This will show you how much damage they do, how much you will do to them, their hitpoints, their resistances, and so on.",
Root/TutorialHeadlineBlocking,"[size=""24""]Blocking[/size]",
Root/CombatBlock1,"An attack was just blocked. When this happens, instead of dealing damage to the target, their shield absorbs the blow. The better the shield, the more melee damage it can absorb. Absorption is indicated by the [color=""lightblue""]blue[/color] bar above the [color=""yellow""]yellow[/color] Hit Points bar. Ranged attacks cannot damage shields!",
Root/CombatBlock2,"When a shield's absorption reaches zero, it will no longer absorb any damage. Like a character's Hit Points, the shield is automatically restored at the end of combat and can be used again for the next fight.",
Root/TutorialHeadlineStatusEffects,"[size=""24""]Status Effects[/size]",
Root/CombatStatusEffect1,Any Status Effects applied to a character will show up above the Hit Points bar. Status Effects can last anywhere from a few rounds to several in-game hours - some are even permanent.,
Root/CombatStatusEffect2,"""Fatigued"" is one of the more punishing Status Effects, and will last as long as a character is still tired. Resting during camping will get rid of it for the duration of the character's Stamina, so make sure everyone gets their rest if you think you might end up in a fight.",
Root/CombatStatusEffect3,"To get more information about the Status Effects, you can click the Info button, and then click on the character, friend or foe, that you want to know more about.",
Root/TutorialHeadlineCover,"[size=""24""]Cover[/size]",
Root/CombatCover1,"A character has just entered cover. Cover comes in either High or Low cover, which is visualised by shields hovering next to the hexes.",
Root/CombatCover2,"When it applies, cover blocks attacks completely - there's no partial cover: you're either in cover, or you're not. Cover protects you against ranged attacks from the direction of the space with cover.",
Root/CombatCover3,"A character in low cover will automatically stand up to shoot over it, but will also be forced to stand up if an enemy stands next to them. High cover still works if the character is standing, but requires movement to shoot at enemies on the other side.",
Root/TutorialHeadlineFlanking,"[size=""24""]Flanking[/size]",
Root/CombatFlanking1,You've just flanked an enemy. This will give both characters a bonus to the damage they deal to the flanked enemy. Flanking is only applied when 2 characters are on directly opposite sides of the enemy.,
Root/CombatFlanking2,"Flanking damage is calculated before Damage Reduction is subtracted, but applied after. This makes flanking very powerful against heavily armoured enemies.",
Root/TutorialHeadlineAttackOfOpportunity,"[size=""24""]Attack of Opportunity[/size]",
Root/CombatAttackOfOpportunity1,"When moving around on the battlefield, be mindful of how you move around or away from enemies, lest they get an extra attack on your hirdmen.",
Root/CombatAttackOfOpportunity2,"If you move through a hex adjacent to the enemy, or disengage from their melee range, they will get an Attack of Opportunity. Each character gets 1 such attack per turn.",
Root/CombatAttackOfOpportunity3,"When you're hovering over a hex your character can move into, any Attacks of Opportunity that will be triggered along the path will be indicated by the graphic above.",
Root/TutorialHeadlineIncapacitation,"[size=""24""]Incapacitation[/size]",
Root/CombatIncapacitated1,"An enemy has just fallen. This will likely happen often, both to you and to enemies. When hirdmen get Incapacitated, they can be revived during combat or left downed until the end of combat. Incapacitated hirdmen will automatically get back on their feet after combat.",
Root/CombatIncapacitated2,"If an enemy is killed, the red hex at their feet will disappear, whereas incapacitated characters will writhe in pain on the ground.",
Root/CombatIncapacitated3,"If you decide to leave a hirdman Incapacitated, they risk getting an injury. The longer they stay down, the worse the injury can become. Do your best to keep everyone on their feet, but accept that injuries happen in a fight.",
Root/TutorialHeadlineNonLethal,"[size=""24""]Non-Lethal Mode[/size]",
Root/CombatNonLethal1,"You've just enabled non-lethal mode. While you're in this mode, enemies will always become Incapacitated instead of dying, but none of your hirdmen will perform critical hits.",
Root/CombatNonLethal2,"Non-lethal mode is useful if you want to make sure a certain enemy survives. A character's survival may change the story, and some quests may require it.",
Root/TutorialHeadlineDetailedInformation,"[size=""24""]Detailed Information[/size]",
Root/CombatDetailedInformation1,"To view more detailed information about friend or foe, click on a character while the Info button is activated.",
Root/CombatDetailedInformationEnter1,"The detailed information window shows you all the abilities available to the character, which passive skills they have, as well as their primary and secondary stats.",
Root/CombatDetailedInformationEnter2,"When a hirdman is selected, you can re-order or re-equip which abilities show up in their ability bar by dragging and dropping them into the desired slot.",
Root/CombatDetailedInformationEnter3,"Here you can choose between the additional ability bars, which are useful in case a character has more abilities than what can fit within the 10 slots. Simply switch to another bar and drag and drop as you would normally.",
Root/TutorialHeadlineCommander,"[size=""24""]Enemy Commanders[/size]",
Root/CombatCommander1,"You have neutralised the commander of the enemies in this fight. The commander is identified by a special icon next to their hitpoint bar. While the commander is standing, all enemies get a big morale bonus, which is lost when their commander falls.",
Root/TutorialHeadlineCombatResults,"[size=""24""]Combat Results[/size]",
Root/CombatResultsEnter1,"Whenever you finish combat, you will see this screen, which has a few vital pieces of information.",
Root/CombatResultsEnter2,"If a character was injured during combat, any new injuries will be displayed here. They will need to be treated the next time you make camp.",
Root/CombatResultsEnter3,"Here you will see any items still equipped by your hirdmen. If you used any items during combat, it will be shown here as well.",
Root/CombatResultsEnter4,Here you will see all the items equipped by each character. Any items that lost durability during the fight will be indicated by a red arrow.,
