﻿原文,译文
空气里弥漫着浓得化不开的敌意，怕是用刀都能切开。就在这绷紧的沉默中，一阵遥远的轰隆声从格蕾妮身后的一个洞口传来——是你的人马正在下面的峡谷间穿行。,
你可算醒了！,
对不住……我总得壮壮胆子，可我不该也灌你酒才是。下回我会好好待你。,
等我什么时候得闲了再说。,
这倒也无妨——只别指望凭你的名号，我就能给你减价。要些什么，拿来我瞧瞧。,
瞧瞧咱们能摸到离那帐篷多近，又不叫他们发觉。,
这会子，驾你的船到那泰河奔向皮克特王都的湾口去，然后贴紧海岸，远远地朝北走。,
独有一桩：仔细别惊扰了国王之墓，除非你扪心自问，确乎配得上他那份遗业。,
可不，你不该来的。我若有什么要的，自会去寻你。,
干草叉本就不是真用来上阵厮杀的，可有些时候，手边有什么就得用什么。,
从我眼前滚开，掠夺者。滚出奥克尼群岛，再不许回来！,
我听说[Player:Name]放过了那个被[Player:he/she]击败的对手，甚至还让他加入了[Player:his/her]的亲兵队。,
我们是来助你夺下邓弗里斯的。,
今天过得如何？,
能弄到什么我就用什么。我一直在从外围的农庄那里弄来稳定的粮食供应。,
你的亲兵都聚在你母亲身边。阿斯特丽德看起来心烦意乱。,
真高兴再见到你，我的朋友。希望你没改变主意。我说过，我们已无处可去了。,
这[i]算哪门子[/i]解决？那肯定是个噩梦！你说的这些谁知道呢，说不定那姑娘只是半夜起来撒尿，碰巧外头一只鸟飞起来，就把她给吵醒了。,
差不多可以这么说——这类物件我都是定做的。你把我需要的材料带来，我便能为你打造你想要的任何装备。,
正因如此，才更该趁他们虚弱时出手。让奥斯雷德和埃塞尔雷德去争执那顶王冠该戴在谁的头上吧。很快，这些就都不重要了。,
埃奥福维克的冠军利奥弗里克，向你的亲兵队发起了演武挑战，想掂量一下你们的斤两。,
我叫毛科林，是这个镇子的郡长。,
你大可以走人。我不管你去哪儿，但最好给我滚出我的镇子。,
太冒险了。我们光明正大地走过去，看看他们肯不肯讲道理。,
战争已经打响了，[Player:Name]！不必告诉我邓弗里斯发生了什么，我的信使早已把一切都告知于我了。,
他的嗓音沙哑而粗砺。,
我就当没听见你的无礼之言。让我看看你的货，咱们赶紧了事。,
待你们二人梳洗完毕、吃过早饭后，凯尔从屋后取来了一件礼物。,
海豹领主,
我什么也保证不了。,
那潭水起初很浅，但很快就变深了。水面之下，一条隧道通向洞穴更深处。水质有些异样的浑浊，闻起来有一股死水的恶臭。,
王室顾问是个备受敬重的职位。你自会得到应有的酬劳。,
{攻击。},
看来这一仗是躲不掉了。,
那另一个男人似乎清醒了过来。,
要我说，在这件事上，托尔芬的意见最为重要。他肯定有些想法。,
那么，代价是什么？,
你和你的手下——你们抛下我们，独自去面对科纳尔手下战士们的复仇怒火！他们哪里知道，是你怂恿我亲爱的莱安南去干出那种事的！,
你当真明白自己卷入了什么样的麻烦里吗？凯尔是很美，这不假，可她却有些不……寻常。,
贡纳尔迈步上前。,
这倒是横生枝节。,
{尝试突袭杀死埃尔林，引发战斗。},
但你父亲治下很宽松，我敬佩他这一点。他或许没能建起一个令人生畏的强大氏族，但他尊重我们，给予了我们极大的信任。,
行，很高兴你加入了我们。,
如果你想打，我们可以帮你跟他们打，但战后那些活下来的人，不能处决。同意吗？,
他们不曾把那消息托付予我，但向我担保过，你会喜欢的。,
幸存的劫掠者已经在里伯现身了。你若想复仇，这便是绝佳的机会。,
我去睡了，凯蒂尔。明日再谈。,
格里穆尔夫收剑入鞘，背靠着一棵树，那模样忽然间仿佛比实际年龄苍老了许多。,
悬崖上有座烽火台，那本是用来在起雾时点亮的，好让船只避开礁石。,
我本不想如此的。我多希望你能留下来，与我们在一起。,
阿斯莱夫只一点头，便将注意力转回了他的同伴身上。,
包涵包涵，年轻人！容我把这把二十五岁就犯关节炎的老腿歇一下，我便走。,
去畜栏边摘些花来，带给胡尔达。,
斯库勒把你派到这儿来，真是害苦了你。他本该亲自来的。,
[i][Player:Name]！[/i],
我们快到地方了。如果我们的策略奏效，你刺杀考斯坦丁成功，这一仗许是很快就能结束。,
你是说服不了我们改变信仰的。,
确实是。,
我们会把你从那儿弄出来的。你要心存信念。,
大多是一些银首饰，还有我那把旧剑。那些你全都留着，只求你把那只爪子给我带来，我求你了。,
我是凯尔，商人鲍尔德雷德的遗孀——很荣幸见到你。,
我刚瞅见那几个小子穿过营地，打西北边的出口火急火燎地走了。,
他最好乖乖认罚，否则他全家都得受牵连。,
跟我料想的一样——你带来的这帮“客人”，简直是搬了一整支军团份量的精钢兵器进我家门。基利安，你就全然不为我这把老骨头的安危着想吗？你这傻小子！,
你的骨头里感觉不到一场战斗，也预见不了一场厮杀。,
啊，确实。那抱歉，这话得由我告诉你，那座坟在我和我的族人守护之下，早已封禁。,
搜索附近，翻出一辆被砸烂的马车，值钱物件早已被洗劫一空。,
恩巴尔德手划十字，嘴里嘀嘀咕咕念叨了几句拉丁语。,
你要是在这儿留着不走，回头我要是用得着你，也好再找到你。,
背后指使的是斯库勒·碎颅者。这几个月来，他一直跟我们对着干。,
格蕾妮像是受够了你的满嘴胡说。她攥紧拳头向上一举，唇间迸出一声尖厉的唿哨。人群应声而动。,
斯库勒本人，倒是一条令人过目难忘的汉子。,
为朋友出力，我从不嫌麻烦。还有什么事，只管说。,
留里克满脸厌恶地摇摇头，把那把小刀往地上一摔。,
那年少的男人像是松了口气，抬手朝其他人打了个手势，让他们坐回去。众人虽不情愿，倒也照办了。,
你是否打算扬帆起航，就此离开日德兰半岛？,
你觉得那一下就叫够劲儿？等我热完身再说！,
[Victim:Name]方才还在那儿走着，现在只剩冰面上豁开一道狭长嶙峋的裂口。你的近卫团其余人等脚下不停，飞一般冲完了到岸边的最后一段路。,
{付100财货。} 拿着。,
这么说你早知道他们的底细？众神之父在上，那你为什么到现在还不动手？,
听着不赖。那能把咱们直接送到国王大厅跟前。,
宽慰与感激搅在一起，在他脸上拧出一副说不清是哭是笑的模样。,
{宰了他。},
那说吧，你究竟在找什么？,
走，去看看斯卡拉格里姆的近卫团回来没有。,
若要攻打耶灵，非得动作快、出手奇不可。,
或许到头来我还是帮得上你。你说你在找谁来着？,
他们说那座墓有矮人、精灵，或这一类的地底活物守着——但凡敢闯进那片禁地的人，都会遭一场极可怕的报应。,
薇尔卡，心肝儿——去把维娅拉，还有你爹妈都叫来。,
全都把东西装上。咱们要把这地方搬空。,
其中一个约莫十八个冬天的年轻男子从篝火边抬起头，起身向你问话。其余人仍坐着，却互相递起了眼色。,
跟努基单挑。,
一种来路诡秘的酊剂，能让用者浑身涌出使不完的劲，三回合内跑得更快。,
是他干的。,
皮革又丢了。这镇子里头有贼。,
这下可不妙了。,
终于得见尊面，真乃荣幸。家父每每提起您，总是称赞不绝。,
菲恩古阿拉和她未来的丈夫待在一处。两人看起来相识已久。,
用不着谢我。我们不过遵了考斯坦丁的意思办事。,
廖特尔和我会盯着他们的，有个什么风吹草动，我便支会你。,
就凭这一点，你今天便有来无回。,
她把脸一苦。,
不错，我正有此意。,
不怕。他们知道咱们要来，可万想不到来的是咱们。,
那货商得意扬扬，高高举起双手。,
话又说回来，修一座蜜酒厅倒是个绝妙的法子，既能在本地树起声望，又能巩固邻里的交情。天下有谁不爱一场实打实的大宴！,
寻求托庇,
他双手啪地一拍，惊飞了邻树上的几只乌鸦。,
你哪里明白！我们自己连给他们榨都榨不出了！,
你不该逃的，艾菲。敢背弃我，就拿你的命来偿。,
雕纹生锈剑,
[Greedy:Name]把身子挨了过来。,
而且咱们带回来的财宝，多到回程时船都快要压得浮不起来了！,
你欠着卡斯雷德一笔债，我就是来收债的。,
够了！弓箭手，放箭！,
这把凿子刃宽，捅起人来差劲得很。可正因如此，死在这玩意儿下头，才格外丢脸。,
那你得讨个名号了。,
咱们带上她吧，[Player:Name]。旁的姑且不论，埃迪丝的手艺总能把路上日子过得好受些。,
可惜了，我的[Player:好小子/好姑娘]，你差一步就成了，却偏偏漏了倒数第二步！真正的基督徒绝不会犯这种错的。,
[Player:欢迎/欢迎]来到里伯，[Player:Name]。不知何事令您有此雅兴光临？,
你的近卫团陆续醒来，聚到篝火边吃着早饭。就在此时，你猛一下想到一件事。,
他脸色一沉，一副恍然大悟的模样。,
芮斯克娃把手攥到罐子外面，慢慢收紧。,
我们该回去看看她怎么样了。,
四个钟头过后，斯卡拉格里姆从你驻在下方的主力部队里冒了出来。,
你能这么说真好，但我仍为胡尔达悲伤。她是一位充满智慧的女性，积累了关于草木、神灵与精魂的毕生学识。眼睁睁看着她的心智如此崩解，我实在心痛。,
不过你看起来身子骨挺结实的。有没有试过干农活？,
今年闹狼，鹿比往年少见了些，可话说回来，这季节我随便一箭出去都能射中只松鸡，所以也没什么好抱怨的。,
他当然会去，不然这一切还有什么意义？,
贡纳尔举起手中的[Leader:weapon]，致以敬礼。,
干一杯，敬雅尔那份不经意的慷慨解囊！,
里伯的报信人是个精力充沛的年轻姑娘，生着一头火红的头发。她轮廓分明的五官上凝聚着雀斑，笑容里藏着几分狡黠。她那副受过训练的嗓子，毫不费力便能穿透市场的嘈杂声浪。,
等这场劫掠的消息传开，我们想集结一支大军根本不费吹灰之力。你很快就能统率自布拉韦利尔之战以来，北方最庞大的一支军队！,
他死了。是被竞争对手的一个领主手下的人给谋杀的。,
有人在沼泽里失踪了？,
[ObjectOfAffection:Name]的语气里透着刀刃般的锋利。,
老铁匠从铁匠铺的深处投来怒目而视的目光。,
米尔丁比我们来得更早。就我所知，他从来就住在那小山洞里。可麻烦的是，这地方的人，不用说，全是基督徒——而且信得如火如荼。他们非但无法理解米尔丁，反倒对他怕得要命。,
[Stuck:He/She]为坠落做好了缓冲准备，但[Stuck:his/her]一条胳膊落地时角度偏得厉害。只听一声令人作呕的咔嚓脆响。[Stuck:Name]发出沉闷的咕噜声，紧紧攥住了[Stuck:his/her]伤臂。,
[Leader:Name]踱到牢房前，直直望进那少年男孩的眼底。,
那些挥之不去的疑心。那些无休无止的争吵。,
别让我一个人在这儿戳太久。,
在你身后，你的母亲正瞪大双眼，目光空洞地望向远方，整个人僵在原地，为儿子的命运恐惧万分。,
时候未到。,
跟我说说你的家乡是什么样的吧。,
多亏了你，诺森布里亚与皮克特兰才统一在了一位国王的麾下。很快，一场盛大的胜利盛宴就将举行，你会是座上贵宾。这或许正是你发兵入侵、一举夺权的天赐良机。,
在镇上待了些日子了，是从奥尔斯和维堡过来的。,
两个男孩蹲在小溪边，一个大概十五岁，另一个年纪小得多。稍加观察便明白了他们的差事：大男孩正教小男孩怎么徒手摸鱼。只是这条小溪浅得根本藏不住鱼，这堂课也只好全然停留在理论上了。,
多谢你出手相助。我……我能拿出手的，也只有这句谢谢了。,
刚进埃塞尔雷德的营地那会儿，瞥见你的时候，我心说兴许你就是我的联络人。咱们赶紧把这事儿了结吧。,
他大腹便便，面色红润，脸上永远挂着一副和和气气的笑容，一开口那嗓门能响彻集市街最熙攘的路段，却丝毫不让人觉得招人烦。,
克维尔杜尔夫鞣制的战甲,
{交出4000贵重物品。} 倒也公道。,
哎哟哟，瞧瞧你这身打扮，拾掇得人模人样的，是要跟那帮穿锦衣的主儿碰头去啊。,
你觉得该找谁来帮你修好这桅杆？,
等你们与我女儿到了珀斯，就到河边找我的侄女梅尔·法巴尔。她在那里出售我们地里的物产，定会为你这了不起的壮举好好酬谢你的。,
若在此地死守，只会落得一片混乱。我们定会寻一处新地方，一处更合于我们抱负的所在，然后——,
当你们并肩走出营帐，朝水边走去濯洗时，所有人都抬起了目光注视着你们。,
不可能认错女祭司说的那棵树——它看上去仿佛从恒古之际便驻守于此，虬结盘错的根系从周围松软的泥土中远远地冒出头来。,
一个男人和一个女人贴得极近地站在一堆酒桶前。只用眼角的瞬间一扫，就能看出这两人[i]真的[/i]恨不得把对方立刻生吞活剥了。,
她会从附近的农庄里牵来精神头十足的健壮马匹。待你们启程之时，它们一准儿会在镇子边等着。,
终结这场盛宴,
格蕾妮坚忍地点了点头，就此一语不发地离世。在生命最后的片刻里，对于这个她想必早已预料多年的宿命，她看起来几乎是如释重负。,
商人亚尔达尔·亚恩斯凯加松正在寻访孔武有力的战士，替他夺回产业。,
那……那座女修道院。,
别，别，别！慢着——且慢动手！我们可以付钱给你们！,
着实费了一番功夫，但你终于推倒了那根尼德柱，又将那匹遭宰杀的马割成了条条肉块。当你把残骸丢给那些食腐的家伙时，只有乌鸦的聒噪声一路追随着你。,
格里姆凯尔和奥尔比约恩似乎思索了片刻。阿斯莱夫睿智地点了点头。,
渔夫正专心修补着一张磨得不成样子的旧渔网。他抬起头，礼貌地点点头——脸上却难掩忧色。,
邓弗里斯的人民正热切期待着你的裁决。,
我们和你们一样急需这解药。我是绝不会放手的。,
别高兴得太早，我们还没完。,
正合我意。我一直想不通，当初为何要带上他。,
很遗憾，但我能理解。你定是担心将自己战术透露给一个将来可能兵戎相见的人。,
阿斯莱夫清了清嗓子。,
罗斯科娃压低了嗓音，如低吟般轻唱，微弱得你几乎无法听清。,
凯蒂尔的目光在那老人脸上审视着。,
听说了贝奥赫特弗里斯儿子的事吗？他们说那小子离那条河太近，人就再也没出现过。,
她的目光漫无目的地游移着。,
冷静点，是主教派我们来的。,
{花费60贵重品购买头盔。} 那个头盔，给你6枚奥图格银币，如何？,
这消息……真他妈的[i]糟透了[/i]！,
在后方，埃尔林格最小的儿子阿雷，脸色愈发烦躁不安。,
你是谁？,
去埃奥福维克找埃塞尔雷德谈谈。,
掠夺者摸到了唐科尔斯家宅的废墟，在灰烬里翻找幸存的财物。公主的卫兵布雷萨尔恳求你将他们从自己国王的故宅中赶出去。,
我呃……我想我没听懂您的问题。不过我会呃……记着您问过的。,
那是你的麻烦，我已尽力了。,
让我瞧瞧你的材料存货。,
{杀了他。} 我判你死刑。,
你费了些功夫才找到利奥弗里克倒下的地方。令人惊讶的是，这位埃奥福维克的冠军竟仍在呼吸。,
等你向我宣誓效忠，我们才能共饮。,
与阿斯特丽德对话，结束这场战役。,
你定是[Player:Name]！是戈德维夫派我们来找你，助你攻破城墙的！,
我父亲为何会带你来？,
你的意思是，我们主动出击，击溃这些强盗？,
我家世代在里伯外的森林里劳作。这城镇的建成，也有我们一份力。,
要是我没能回来，替我照看好我的小子们。,
在诺森布里亚，你找到了父亲最后一次远征的线索。或许，你可以循迹追查一切的终结之地，终于得到一个答案。,
他攥紧了双拳。那神情看似愤怒，但在你看来，那或许其实是羞愧。,
我在这儿是为了——宝藏。但被那些强盗抢走了。你若肯帮我……我就……[i]喘着粗气[/i]……就告诉你如何寻到它。,
{离开。} 很好。,
自然，家父已不再年轻。我知道，他心底是想让我留在此地帮着照料农场。但眼下他看见了我们旅途的成果，抱怨声倒也渐渐不再那么激烈了。,
别耍花样，异教徒。,
这是谁的？真是太酷了！,
你已抵达德瓦·维克特里克斯——昔日旧帝国的一座宏伟堡垒，不幸于数个世纪前被遗弃。如今，罗穆卢斯军团将这片废墟重振为圣地，以敬拜圣罗穆卢斯。,
女猎手西格丽德在你家宅附近的森林里，发现了一群露营的旅人。,
他瞥了一眼身旁的卫兵，目光又回到你身上。,
还有别的事吗？,
返回斯克恩，与阿斯特丽德对话，终结在不列颠的冒险。,
很好。丑话说在前头，免得误会：你若改变主意，我们便将邓弗里斯夷为平地，杀光所有胆敢抵抗之人，余下的统统抓去当奴仆。,
直面那些猎人。,
她……迫切地想要证明自己，对吧？反正看起来是。她坚硬如铁，但好像自己浑然不知。,
说。,
你没听说吗？昨晚有人在那边摆了个牛头。,
很好。猫是天生的猎手，她自己一猫也能过得很好。,
考斯坦丁若有所思地捋着胡子。,
小队经由一条靠近河流的隧道潜入了埃奥福维克的地牢——在罗马时代，这里曾是条下水道，内脏秽物的恶臭如噩梦的余韵，至今仍在此处萦绕不散。,
自然。,
格蕾妮不是说他有一支军队么？,
悉听尊便。,
竟会认为你们这等人能给这片土地带来的除死亡与背叛之外的东西，真是个天大的错误。在你们踏足我们海岸的那一刻，我们就该将你们赶尽杀绝！,
继续。,
[迷信:Name]正在近旁干活，带着愈发警惕的疑心紧紧盯着莫尔坎特——那个被俘的修士显然对此心知肚明。,
考斯坦丁有个地下宝库。[i]我们[/i]有权洗劫它。,
听着，我跟你还没熟到那份上，能给的活计有限。总不能派几个陌生人去替国王执法吧。,
我跟你父亲有过生意往来。你们这些房子，不少都是用我供的木料盖的。,
你竟把他活着带回来了！干得漂亮。这是答应的九十八便士，拿去吧。,
那[i]狗娘养的[/i]！,
奥斯雷德还活着，但也只剩半口气了。他倒在血泊里，昏迷不醒。,
那我的同伴们呢？他们就这么被株连了不成？,
你不是头一个跑到这儿来，想从我手里夺走奥克尼群岛的家伙。说实话，我自己就是从个叫维达尔的人那儿抢过来的，而维达尔是从皮克特人手里夺的。,
我不由想起咱俩初次见面的时候，在去珀斯的路上，[Player:Name]。如今想来，当时那情形，弄不好可比那要糟得多。,
有些不对劲。烽火怎么没点起来示警？再说这时机，对咱们的敌人来说也太[i]凑巧[/i]了些。,
话一出口，罗斯克娃才回过味来，脸颊微微泛红，抬手掩住了笑意。,
但愿如此。,
她眨眨眼，竭力收拢思绪。,
确实，呃，你们最好另找个王国去探查。我这片领地早被探得明明白白，我的臣民也不会乐见你们这伙武士在乡间转悠。,
开个价。,
鱼钩上没鱼咬饵……好几个月都这样了。,
差不多就是这么档子事。,
你当时去见谁了？,
基利安停下脚步思索起来，本地的萤火虫们总算松了口气。他那罐子里已经嗡嗡嗡地关了六七只了。,
“欢迎你，希密尔，瞧你精神抖擞：如今你的儿子已回到你的厅堂，这孩子在远游时我们俩都惦记得很。赫罗德的死对头也随他同来，是战士的好友，名叫索尔。”,
谁在乎？他们如今再也威胁不到咱们了。,
{攻击。}对不住了，达布格拉斯，我们得救你表弟。,
{出示塞法的项链。}我先问你件事。你可曾见过这样一条项链？,
他发出一阵沙哑的笑声，笑声里满是辛酸。,
你干得可比我料想的最坏打算还过分。行啊……你们也就走到这儿了！,
趁英吉玛目光一转，你麻利地把他的角杯和自己的调了包，随即举杯致意，老头对你的把戏浑然不觉。,
[无聊：Name]一把攥住了[贪婪：Name]的肩头。,
是，陛下。我向上帝起誓。,
去南墙外的货仓，把那镶着珠宝的金十字架偷出来。,
多谢了，[Player:诺尔斯人]。现在请离开，容我们安安静静为灵魂祷告。,
我们自然还得寻到那片林间空地——假若还有残存的话。立这块石碑的时候，这儿怕是一个基督徒都没有。,
他们已经发了誓。,
真的？！哈哈哈！这可是天大的好消息！我总算能离开这座又刮风又下雨、一塌糊涂的破岛了。,
行，我帮你把那奸细揪出来。,
他要是奔海泽比去，就非得穿过那片沼泽不可……,
这事儿咱们没完！,
凯蒂尔挑起一道眉毛。,
{查看足迹。},
最后一个敌人轰然倒下，耳中奔涌的血流声渐渐平息，你猛地意识到，不远处另一场厮杀正在上演。,
你若真要我接下这桩活计，我自会去林子里与你碰头，帮你挑一棵合适的树。即刻动工的话，约莫暮春时分就能把你的船造好。,
是巨人！,
讲讲道理嘛。我们是体面人，此番前来是为咱们两国修好。容我们助你们一臂之力。,
凯蒂尔感激地抱住了你。他双手揪紧你的衣袍，你能觉出他的呼吸渐趋平稳。他把脸埋在你肩窝，含混不清地嘟囔着什么。,
真高兴总算甩掉了那个老糊涂。,
你年纪轻轻，不该这般愤世嫉俗。,
你是个好人，[Player:汉子/姑娘]。你已尽了全力。,
我自己地盘上那些勾心斗角、尔虞我诈，跟你那儿比，只多不少。,
入夜后不久……,
年轻人坚决地点了点头，便朝神殿方向悠然走去。,
不！国王下令抓你们的时候，我跟你一样大吃一惊。,
这么说，你老家——斯基恩，对吧？你是那儿的领主？这爵位怎么落到你头上的？,
再说了……眼下人多也不顶什么用了。瞧他们那龟缩死守的架势，只有出奇谋才能救得了你。,
成。不管使什么法子，我非查清他出了什么事不可。,
亚斯莱夫松开怀抱，把双臂交叠在胸前。,
好吧，至少[Player:he/she]还[i]知道抱歉[/i]，为丢下我们，任我们自生自灭。,
欢迎回来。在邓弗里斯出了那种事之后，我觉得是时候着手为入侵做准备了。,
主意倒是不错，但我对下套捕猎一窍不通。这事儿你能应付得来吗？,
他深深陷在自己的思绪里，半晌才将目光凝聚在你身上。,
但要是国王明天就颁布莱当征募令，我们部族能凑出多少能上阵的战士？不过区区十二人？,
不！住手！这里谁都不用死！我们可以——别逼我跟这些人兵刃相见！！,
找到埃塞尔雷德，去瞧瞧奥斯雷德究竟会落个什么下场。,
可即便如此，也没能拦住他夺走我的处子之身。,
那女孩回到其他奴仆中间，依然抽噎着，却如释重负。周遭很快便沉静了下来。,
回去见牧师，告诉他你已决意容留这个教派。,
你本无须出手相助，却依然仗义援手——全然不顾哈夫丹之子们手握的黄金与权势。这方土地上到底还存着公道。多谢了！,
万幸，你们的麻袋空空如也，并未装满劫来的宝物，所有的小玩意儿都贴身藏好了。守卫们显而易见地松了口气。,
行吧，不过按咱们的约定，这里头有一半归我。,
他们有多少人马？,
你的领地，你几乎对我只字未提。,
她叹了口气，目光恋恋地投向[ObjectOfAffection:Name]，随后，凯尔的身影便消隐于家门之内。,
